DateTime,AddedIPs,RemovedIPs
1497848974,0,1
1497852576,2,0
1497910178,0,1
1497913772,1,0
1497917399,1,0
1497928167,0,1
1497931755,1,0
1497967766,0,1
1497974980,0,1
1497982203,2,0
1498000162,0,1
1498003816,1,0
1498025393,0,1
1498028963,1,0
1498039794,0,2
1498054172,2,0
1498090232,1,0
1498144180,0,1
1498147757,1,0
1498176594,0,1
1498183772,1,0
1498198154,0,1
1498201758,1,2
1498205340,1,0
1498216140,1,0
1498248556,0,1
1498252142,1,0
1498255747,0,1
1498266564,0,1
1498270150,1,1
1498273761,1,0
1498356566,0,1
1498367339,1,0
1498374560,0,1
1498378174,1,0
1498385371,0,1
1498388979,0,1
1498392565,1,0
1498410567,0,2
1498417780,2,0
1498529378,0,1
1498543758,0,1
1498554557,1,0
1498612194,1,0
1498651765,0,1
1498655368,1,0
1498691404,0,1
1498695043,1,0
1498712994,0,1
1498716587,1,0
1498748995,0,1
1498752591,1,0
1498799386,0,2
1498806605,1,0
1498810167,1,0
1498820960,0,1
1498824584,1,0
1498846190,0,1
1498860562,1,0
1498864179,0,1
1498874990,1,0
1498932574,0,1
1498939765,1,0
1498979384,0,1
1498997399,1,0
1499051341,0,1
1499065743,0,1
1499072959,1,0
1499076550,0,1
1499101754,1,0
1499112554,0,1
1499123341,1,0
1499324943,0,1
1499335780,1,0
1499436555,0,1
1499443766,1,0
1499458175,0,1
1499461773,1,0
1499486984,0,1
1499497777,1,0
1499551772,0,1
1499559032,2,0
1499562586,1,0
1499627386,0,1
1499630992,1,0
1499638180,0,1
1499649017,1,0
1499652560,1,0
1499663357,0,1
1499666943,1,1
1499670581,1,0
1499681350,0,1
1499688543,0,1
1499692174,1,0
1499695767,1,0
1499713770,1,0
1499731831,0,1
1499735382,0,1
1499742577,1,0
1499760587,0,1
1499764177,1,1
1499771374,1,0
1499785786,0,1
1499796562,1,0
1499803777,0,1
1499807363,1,0
1499821789,0,1
1499825374,1,0
1499875776,0,1
1499879373,1,0
1499882983,0,1
1499893797,1,0
1499904621,0,1
1499911772,1,0
1499922543,0,1
1499926160,0,1
1499929740,1,0
1499936975,1,0
1499972957,0,1
1499976586,1,0
